id;name_rus;name_eng;name_constitution;name_fns;name_fias;name_rst_data;name_emiss;name_datawrapper;name_datawrapper_square;name_datawrapper_short;name_tableau;alternative_names;okato;oktmo;fns_code;iso_code;level;parent_id;parent_name
400;Санкт-Петербург;Sankt-Peterburg;Санкт-Петербург;город федерального значения Санкт-Петербург;Г. Санкт-Петербург;Город Санкт-Петербург город федерального значения;Город Санкт-Петербург город федерального значения;Санкт-Петербург;Санкт-Петербург;СПБ;Sankt-Peterburg;г. Санкт Петербург, г. Санкт- Петербург;40000000;40000000;78;RU-SPE;регион;3;Северо-Западный федеральный округ
4;Южный федеральный округ;Southern Federal District;None;None;None;Южный федеральный округ;Южный федеральный округ(по2009год);None;None;None;None;;00000000;00000000;None;None;федеральный округ;1;Российская Федерация
790;Республика Адыгея;Adygey;Республика Адыгея (Адыгея);Республика Адыгея (Адыгея);Республика Адыгея (Адыгея);Республика Адыгея (Адыгея);Республика Адыгея (Адыгея);Республика Адыгея;Адыгея;АДЫГ;Adygey;;79000000;79000000;1;RU-AD;регион;4;Южный федеральный округ
850;Республика Калмыкия;Kalmyk;Республика Калмыкия;Республика Калмыкия;Республика Калмыкия;Республика Калмыкия;Республика  Калмыкия;Республика Калмыкия;Калмыкия;КАЛМ;Kalmyk;;85000000;85000000;8;RU-KL;регион;4;Южный федеральный округ
350;Республика Крым;Autonomna respublica Krym;Республика Крым;Республика Крым;Республика Крым;Республика Крым;Республика Крым;Республика Крым;Крым;КРЫМ;Autonomna respublica Krym;;35000000;35000000;91;UA-43;регион;4;Южный федеральный округ
30;Краснодарский край;Krasnodar;Краснодарский край;Краснодарский край;Краснодарский край;Краснодарский край;Краснодарский край;Краснодарский край;Краснодарский край;КРДР;Krasnodar;;03000000;03000000;23;RU-KDA;регион;4;Южный федеральный округ
120;Астраханская область;Astrakhan';Астраханская область;Астраханская область;Астраханская область;Астраханская область;Астраханская область;Астраханская область;Астраханская область;АСТ;Astrakhan';;12000000;12000000;30;RU-AST;регион;4;Южный федеральный округ
180;Волгоградская область;Volgograd;Волгоградская область;Волгоградская область;Волгоградская область;Волгоградская область;Волгоградская область;Волгоградская область;Волгоградская область;ВОЛГ;Volgograd;;18000000;18000000;34;RU-VGG;регион;4;Южный федеральный округ
600;Ростовская область;Rostov;Ростовская область;Ростовская область;Ростовская область;Ростовская область;Ростовская область;Ростовская область;Ростовская область;РОС;Rostov;;60000000;60000000;61;RU-ROS;регион;4;Южный федеральный округ
670;Севастополь;Misto Sevastopol;Севастополь;город федерального значения Севастополь;Г. Севастополь;Город федерального значения Севастополь;Город федерального значения Севастополь;Севастополь;Севастополь;СЕВ;Misto Sevastopol;;67000000;67000000;92;UA-40;регион;4;Южный федеральный округ
5;Северо-Кавказский федеральный округ;North Caucasian Federal District;None;None;None;Северо-Кавказский федеральный округ;Северо-Кавказский федеральный округ;None;None;None;None;;00000000;00000000;None;None;федеральный округ;1;Российская Федерация
820;Республика Дагестан;Dagestan;Республика Дагестан;Республика Дагестан;Республика Дагестан;Республика Дагестан;Республика  Дагестан;Республика Дагестан;Дагестан;ДАГ;Dagestan;;82000000;82000000;5;RU-DA;регион;5;Северо-Кавказский федеральный округ
260;Республика Ингушетия;Ingushetia;Республика Ингушетия;Республика Ингушетия;Республика Ингушетия;Республика Ингушетия;Республика  Ингушетия;Республика Ингушетия;Ингушетия;ИНГ;Ingushetia;;26000000;26000000;6;RU-IN;регион;5;Северо-Кавказский федеральный округ
830;Кабардино-Балкарская Республика;Kabardin-Balkar;Кабардино-Балкарская Республика;Кабардино-Балкарская Республика;Кабардино-Балкарская Республика;Кабардино-Балкарская Республика;Кабардино-Балкарская Республика;Кабардино-Балкарская республика;Кабардино-Балкария;КАБ;Kabardin-Balkar;;83000000;83000000;7;RU-KB;регион;5;Северо-Кавказский федеральный округ
910;Карачаево-Черкесская Республика;Karachay-Cherkess;Карачаево-Черкесская Республика;Карачаево-Черкесская Республика;Карачаево-Черкесская Республика;Карачаево-Черкесская Республика;Карачаево-Черкесская Республика;Карачаево-Черкесская республика;Карачаево-Черкесия;КАРА;Karachay-Cherkess;;91000000;91000000;9;RU-KC;регион;5;Северо-Кавказский федеральный округ
900;Республика Северная Осетия — Алания;Respublika Severnaya Osetiya-Alaniya;Республика Северная Осетия — Алания;Республика Северная Осетия - Алания;Республика Северная Осетия - Алания;Республика Северная Осетия-Алания;Республика Северная Осетия-Алания;Республика Северная Осетия — Алания;Северная Осетия — Алания;ОСЕТ;Respublika Severnaya Osetiya-Alaniya;Республика Северная Осетия - Алания, Республика Северная Осетия-Алания, Республика Северная Осетия –Алания;90000000;90000000;15;RU-SE;регион;5;Северо-Кавказский федеральный округ
960;Чеченская Республика;Chechnya;Чеченская Республика;Чеченская Республика;Чеченская Республика;Чеченская Республика;Чеченская Республика;Чеченская республика;Чечня;ЧЕЧ;Chechnya;;96000000;96000000;20;RU-CE;регион;5;Северо-Кавказский федеральный округ
70;Ставропольский край;Stavropol;Ставропольский край;Ставропольский край;Ставропольский край;Ставропольский край;Ставропольский край;Ставропольский край;Ставропольский край;СТАВ;Stavropol;Ставропольский край.;07000000;07000000;26;RU-STA;регион;5;Северо-Кавказский федеральный округ
6;Приволжский федеральный округ;Privolzhsky Federal District;None;None;None;Приволжский федеральный округ;Приволжский федеральный округ;None;None;None;None;;00000000;00000000;None;None;федеральный округ;1;Российская Федерация
800;Республика Башкортостан;Bashkortostan;Республика Башкортостан;Республика Башкортостан;Республика Башкортостан;Республика Башкортостан;Республика Башкортостан;Республика Башкортостан;Башкортостан;БШК;Bashkortostan;;80000000;80000000;2;RU-BA;регион;6;Приволжский федеральный округ
880;Республика Марий Эл;Mariy-El;Республика Марий Эл;Республика Марий Эл;Республика Марий Эл;Республика Марий Эл;Республика Марий Эл;Республика Марий Эл;Марий Эл;МАРИ;Mariy-El;;88000000;88000000;12;RU-ME;регион;6;Приволжский федеральный округ
